district,year,crop,season,area,AvgRain,AvgTemp
BATHINDA,2004,Cotton(lint),Kharif,141000,27.58,27.69083333
PATIALA,2012,Wheat,Rabi,234000,40.70416667,25.77708333
GURDASPUR,1998,Urad,Kharif,2700,24.57916667,25.52208333
PATIALA,2007,Rice,Kharif,234000,43.44083333,26.55125
JALANDHAR,2005,Moong,Kharif,100,53.49083333,25.50916667
FIROZPUR,1999,Cotton(lint),Kharif,119000,19.7675,27.97625
JALANDHAR,1999,Wheat,Rabi,163000,32.2,27.14458333
AMRITSAR,1998,Sesamum,Kharif,4700,21.14916667,27.10916667
HOSHIARPUR,2001,Rapeseed &Mustard,Rabi,300,52.39333333,25.55375
JALANDHAR,2002,Rice,Kharif,133000,37.0775,27.14
FARIDKOT,2000,Cotton(lint),Kharif,14000,22.84083333,27.435
GURDASPUR,2005,Gram,Rabi,200,55.97833333,24.12208333
BATHINDA,2008,Cotton(lint),Kharif,153000,49.255,26.26333333
BATHINDA,2008,Groundnut,Kharif,300,49.255,26.26333333
MUKATSAR,1999,Moong,Kharif,3000,16.4825,28.14166667
ROPAR(RUPNAGAR),2008,Rice,Kharif,36000,125.5383333,20.89958333
LUDHIANA,2003,Cotton(lint),Kharif,1000,49.05833333,25.96708333
AMRITSAR,2008,Rice,Kharif,183000,78.35166667,25.32708333
JALANDHAR,2012,Sunflower,Rabi,3500,44.08916667,25.59625
NAWANSHAHR,2003,Sugarcane,Whole year,10000,53.6325,25.81208333
JALANDHAR,2000,Gram,Rabi,100,41.01583333,26.54375
FIROZPUR,2002,Rapeseed &Mustard,Rabi,16000,22.02416667,27.93333333
ROPAR(RUPNAGAR),2012,Sugarcane,Whole year,3000,69.6325,21.46166667
FARIDKOT,2001,Cotton(lint),Kharif,36000,32.3675,27.11625
BATHINDA,2007,Barley,Rabi,2000,34.32166667,27.13208333
MUKATSAR,2004,Gram,Rabi,300,27.58,27.69083333
KAPURTHALA,2007,Rice,Kharif,110000,45.78,26.28833333
MANSA,2012,Moong,Kharif,300,33.7625,26.06375
NAWANSHAHR,2004,Rice,Kharif,50000,45.565,26.64166667
PATIALA,2012,Cotton(lint),Kharif,1000,40.70416667,25.77708333
JALANDHAR,2002,Wheat,Rabi,167000,37.0775,27.14
NAWANSHAHR,2012,Rapeseed &Mustard,Rabi,2000,44.08916667,25.59625
FARIDKOT,2000,Moong,Kharif,3200,22.84083333,27.435
FATEHGARH SAHIB,2003,Maize,Kharif,1000,63.49083333,25.7175
JALANDHAR,2009,Wheat,Rabi,170000,42.17916667,26.33958333
FIROZPUR,2004,Wheat,Rabi,386000,31.17583333,27.50583333
ROPAR(RUPNAGAR),2005,Rapeseed &Mustard,Rabi,2000,74.0425,21.33458333
JALANDHAR,2002,Arhar (Tur),Kharif,800,37.0775,27.14
SANGRUR,2005,Guar seed,Whole year,100,42.3725,25.96541667
FARIDKOT,1999,Arhar (Tur),Kharif,100,19.7675,27.97625
JALANDHAR,2004,Sugarcane,Whole year,11000,45.565,26.64166667
FIROZPUR,2008,Cotton(lint),Kharif,120000,56.525,25.96291667
FARIDKOT,2006,Arhar (Tur),Kharif,100,43.10666667,26.76416667
HOSHIARPUR,2005,Masoor,Rabi,400,58.44416667,24.74875
HOSHIARPUR,1999,Sugarcane,Whole year,15000,35.5325,26.37541667
LUDHIANA,2005,Maize,Kharif,2000,46.84,25.80916667
JALANDHAR,2000,Masoor,Rabi,100,41.01583333,26.54375
MOGA,2005,Rapeseed &Mustard,Rabi,1000,43.11083333,25.93125
PATIALA,2005,Sugarcane,Whole year,2000,48.6925,25.84166667
MOGA,2001,Sugarcane,Whole year,2000,35.83916667,26.82083333
AMRITSAR,2012,Arhar (Tur),Kharif,200,43.16083333,25.68208333
KAPURTHALA,2001,Masoor,Rabi,100,40.47,26.62666667
BATHINDA,2003,Gram,Rabi,900,37.2525,26.53791667
HOSHIARPUR,2000,Wheat,Rabi,142000,45.085,25.79708333
AMRITSAR,2006,Rice,Kharif,178000,70.41083333,25.94375
SANGRUR,2003,Rice,Kharif,366000,47.79916667,26.00041667
PATIALA,2007,Wheat,Rabi,240000,43.44083333,26.55125
BATHINDA,2004,Bajra,Kharif,1000,27.58,27.69083333
PATIALA,1999,Rice,Kharif,250000,27.9,27.38375
SANGRUR,2012,Rapeseed &Mustard,Rabi,2000,36.13833333,25.83791667
MANSA,2006,Groundnut,Kharif,100,27.7025,27.3375
MUKATSAR,2001,Sesamum,Kharif,1500,30.40833333,27.29583333
HOSHIARPUR,2004,Gram,Rabi,400,50.45833333,25.90375
FARIDKOT,2002,Moong,Kharif,800,22.02416667,27.93333333
SANGRUR,2009,Groundnut,Kharif,100,35.63916667,26.74916667
BATHINDA,2005,Gram,Rabi,500,34.2425,26.375
BATHINDA,1999,Bajra,Kharif,1000,16.4825,28.14166667
GURDASPUR,2002,Sugarcane,Whole year,25000,42.1575,25.71625
HOSHIARPUR,2010,Wheat,Rabi,154000,74.025,25.52458333
FIROZPUR,2003,Groundnut,Kharif,100,37.48166667,26.46666667
FATEHGARH SAHIB,2009,Wheat,Rabi,85000,49.95833333,26.36416667
MOGA,2007,Rice,Kharif,169000,38.51916667,26.66958333
GURDASPUR,2000,Masoor,Rabi,1000,43.4175,25.2575
LUDHIANA,2001,Arhar (Tur),Kharif,2300,40.48583333,26.56375
FIROZPUR,2012,Rice,Kharif,267000,33.44083333,26.00541667
KAPURTHALA,2012,Wheat,Rabi,110000,39.58916667,25.7525
GURDASPUR,2009,Wheat,Rabi,230000,43.18583333,25.03
ROPAR(RUPNAGAR),1999,Gram,Rabi,500,46.96833333,22.78166667
NAWANSHAHR,2010,Rice,Kharif,58000,62.85666667,26.25416667
SANGRUR,2008,Wheat,Rabi,285000,64.98416667,25.48416667
PATIALA,2004,Rice,Kharif,250000,46.67416667,26.60041667
FIROZPUR,2009,Sugarcane,Whole year,100,29.8275,27.00041667
FATEHGARH SAHIB,2005,Rice,Kharif,85000,53.77583333,25.74166667
ROPAR(RUPNAGAR),2004,Wheat,Rabi,89000,74.66666667,22.15833333
KAPURTHALA,2006,Peas & Beans (Pulses),Rabi,100,60.74583333,26.1925
MOGA,2002,Maize,Kharif,1000,25.7975,27.69791667
MUKATSAR,2003,Cotton(lint),Kharif,91000,37.2525,26.53791667
GURDASPUR,1998,Sesamum,Kharif,2500,24.57916667,25.52208333
SANGRUR,1998,Groundnut,Kharif,1000,38.12583333,26.315
MANSA,2002,Cotton(lint),Kharif,70000,19.445,28.05
